Date,Age,Gender,Marital_Status,Num_Children,Employment_Status,Monthly_Household_Income,Had_Health_Insurance,Insurance_Cover,Last_Hospital_Visit_Months,Had_Health_Insurance_During_Last_Visit,Had_Routine_Checkup,Checkup_Interval_Years,Had_Cancer_Screening,Cancer_Screening_Interval_Years
05/04/2023,41-50,Female,Married,2,Self-employed,20001-30000,Yes,Nhif,53,No,Yes,2,No,2
15/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,8,No,Yes,1,No,
15/05/2023,41-50,Female,Married,5,Self-employed,20001-30000,No,Nhif,6,Yes,No,,Yes,4+
15/05/2023,18-30,Male,Single,,Self-employed,10001-20000,Yes,Nhif,16,Yes,No,,No,
15/05/2023,41-50,Male,Married,7,Self-employed,20001-30000,Yes,Nhif,13,Yes,No,,Yes,4+
15/05/2023,18-30,Female,Single,,Unemployed,10001-20000,Yes,Nhif,2,Yes,No,,No,
15/05/2023,31-40,Female,Married,2,Self-employed,10001-20000,Yes,Nhif,4,Yes,No,,No,
15/05/2023,18-30,Male,Single,,Self-employed,0-9999,No,,24,No,No,,No,
15/05/2023,31-40,Female,Married,3,Employed,20001-30000,Yes,Nhif,5,Yes,No,,No,
15/05/2023,31-40,Female,Married,2,Employed,10001-20000,Yes,Nhif,6,Yes,No,,No,
15/05/2023,18-30,Male,Single,,Unemployed,0-9999,No,,17,No,No,,No,
15/05/2023,18-30,Male,Single,0,Self-employed,0-9999,Yes,Britam,5,No,No,1,No,1
15/05/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,17,Yes,Yes,4+,Yes,4+
15/05/2023,18-30,Male,Single,,Unemployed,0-9999,No,,8,No,No,,No,
16/05/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,5,No,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,Not applicable cause I don't have insurance ,9,No,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,50001+,Yes,CIC group insurance,5,Yes,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,8,No,No,,No,
18/05/2023,41-50,Female,Married,4,Self-employed,50001+,Yes,CIC group insurance,5,Yes,Yes,1,No,
18/05/2023,18-30,Male,Married,3,Employed,50001+,Yes,NHIF,7,Yes,Yes,4+,No,
18/05/2023,41-50,Female,Married,3,Employed,50001+,Yes,NHIF,2,Yes,Yes,3,No,
18/05/2023,18-30,Female,Single,0,Employed,50001+,Yes,NHIF,1,Yes,Yes,2,No,
18/05/2023,18-30,Male,Single,0,Unemployed,50001+,Yes,NHIF,6,Yes,No,,No,
18/05/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,NHIF and Britam,9,Yes,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,NHIF,4,No,No,,No,
18/05/2023,18-30,Female,Single,,Unemployed,0-9999,No,Not applicable ,3,No,No,,No,
18/05/2023,41-50,Female,Married,3,Self-employed,10001-20000,Yes,NPS,1,Yes,Yes,1,Yes,4+
18/05/2023,18-30,Male,Single,,Unemployed,0-9999,No,,2,No,No,,No,
18/05/2023,51-60,Male,Married,4,Employed,20001-30000,Yes,"NHIF,NSSF",3,Yes,No,,No,
18/05/2023,18-30,Male,Single,2,Unemployed,0-9999,Yes,NHIF,4,No,No,,No,
18/05/2023,18-30,Female,Divorced,6,Employed,0-9999,No,,11,No,No,,No,
18/05/2023,31-40,Female,Married,5,Unemployed,0-9999,Yes,NHIF,24,No,Yes,3,No,
18/05/2023,60+,Male,Married,4,Self-employed,20001-30000,Yes,NHIF,1,Yes,Yes,1,No,
18/05/2023,18-30,Male,Married,0,Self-employed,40001-50000,No,,1,No,No,,No,
18/05/2023,60+,Male,Married,8,Unemployed,0-9999,Yes,Nhif,1,No,Yes,1,No,
18/05/2023,31-40,Male,Married,2,Self-employed,0-9999,No,,2,No,No,,No,
18/05/2023,,,Single,0,Self-employed,0-9999,Yes,Nhif,2,No,No,,No,
18/05/2023,31-40,Female,Married,2,Employed,40001-50000,Yes,Nhif,3,Yes,Yes,2,Yes,3
18/05/2023,18-30,Male,Married,1,Self-employed,10001-20000,Yes,Nhif,1,No,No,,No,
18/05/2023,41-50,Female,Married,3,Employed,20001-30000,Yes,Nhif ,6,Yes,No,,No,
18/05/2023,18-30,Female,Single,0,Self-employed,10001-20000,Yes,Nhif ,2,No,No,,No,
18/05/2023,51-60,Male,Married,5,Employed,20001-30000,Yes,Nhif ,5,Yes,No,,No,
18/05/2023,31-40,Male,Married,3,Self-employed,10001-20000,Yes,Nhif ,1,No,No,,No,
18/05/2023,60+,Male,Married,8,Employed,50001+,Yes,Nhif ,9,Yes,No,,No,
18/05/2023,41-50,Female,Married,4,Employed,20001-30000,Yes,"NHIF, NSSF",1,Yes,Yes,2,Yes,2
18/05/2023,18-30,Male,Single,1,Self-employed,0-9999,Yes,NHIF,1,No,No,,No,
18/05/2023,18-30,Female,Single,1,Self-employed,10001-20000,No,,8,No,Yes,1,No,
18/05/2023,31-40,Female,Married,1,Self-employed,10001-20000,Yes,NHIF,1,Yes,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,10001-20000,Yes,M Tiba,2,Yes,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,10001-20000,Yes,NHIF,24,Yes,No,,,
18/05/2023,18-30,Male,Single,,Unemployed,10001-20000,Yes,NHIF,60,Yes,No,,No,
18/05/2023,18-30,Male,Single,,Unemployed,0-9999,No,,36,No,No,,No,
18/05/2023,41-50,Female,Married,2,Unemployed,0-9999,No,,1,No,No,,No,
18/05/2023,41-50,Male,Married,2,Unemployed,0-9999,No,,6,No,No,,No,
18/05/2023,60+,Female,Married,6,Self-employed,10001-20000,Yes,NHIF,7,Yes,No,4+,No,4+
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,3,No,Yes,1,No,4+
18/05/2023,60+,Male,Married,6,Employed,20001-30000,Yes,NHIF,8,Yes,Yes,1,No,4+
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,9,No,No,,No,
18/05/2023,18-30,Female,Single,0,Unemployed,,No,,3,No,No,,No,
18/05/2023,31-40,Female,Married,2,Employed,10001-20000,No,,6,No,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,,No,,7,No,No,,No,
18/05/2023,18-30,Male,Single,0,Self-employed,20001-30000,No,,2,No,No,,No,
18/05/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,Minet,5,Yes,No,,Yes,2
18/05/2023,31-40,Female,Married,3,Employed,20001-30000,Yes,,2,No,No,,Yes,1
18/05/2023,41-50,Male,Married,3,Employed,40001-50000,Yes,Nhif,2,Yes,Yes,1,No,
18/05/2023,18-30,Male,Single,0,Self-employed,20001-30000,Yes,Britam,36,No,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,10001-20000,Yes,,3,No,No,,No,
18/05/2023,31-40,Female,Divorced,2,Self-employed,20001-30000,Yes,NHIF,3,Yes,No,,No,
18/05/2023,41-50,Male,Married,3,Employed,40001-50000,Yes,NHIF,1,Yes,Yes,1,No,
18/05/2023,18-30,Female,Married,9,Self-employed,0-9999,Yes,NHIF,1,No,No,,No,
18/05/2023,18-30,Female,Married,9,Self-employed,0-9999,Yes,NHIF,1,No,No,,No,
18/05/2023,60+,Male,Married,9,Unemployed,0-9999,Yes,NHIF,0,No,No,,No,
18/05/2023,18-30,Male,Single,1,Unemployed,0-9999,Yes,NHIF,18,No,No,,No,
18/05/2023,51-60,Male,Married,7,Self-employed,20001-30000,Yes,Nhif,1,Yes,Yes,1,No,
18/05/2023,41-50,Female,Married,7,Unemployed,0-9999,Yes,Nhif,1,Yes,Yes,1,Yes,1
18/05/2023,18-30,Male,Single,0,Employed,10001-20000,Yes,Nhif,8,Yes,Yes,1,No,
18/05/2023,31-40,Female,Single,0,Employed,20001-30000,Yes,NHIF,2,Yes,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,No,1,No,No,,No,
18/05/2023,51-60,Male,Married,5,Employed,20001-30000,Yes,NHIF,8,Yes,No,,No,
18/05/2023,18-30,Female,Married,2,Self-employed,10001-20000,Yes,APA insurance ,9,Yes,No,,No,
18/05/2023,31-40,Male,Single,1,Employed,40001-50000,Yes,Directline insurance ,5,Yes,No,,No,
18/05/2023,60+,Male,Married,3,Self-employed,10001-20000,Yes,NHIF,5,Yes,Yes,1,No,
18/05/2023,51-60,Female,Married,3,Self-employed,0-9999,Yes,County insurance card,2,No,No,,Yes,4+
18/05/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,5,No,Yes,4+,Yes,4+
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,2,No,No,,No,
18/05/2023,18-30,Female,Married,0,Employed,50001+,Yes,NHIF,1,Yes,Yes,1,Yes,1
18/05/2023,18-30,Male,Single,0,Employed,40001-50000,Yes,NHIF,3,Yes,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,4,No,No,,No,
18/05/2023,18-30,Female,Married,4,Unemployed,0-9999,Yes,Medical payment coverage ,1,Yes,Yes,1,No,
18/05/2023,51-60,Male,Married,7,Unemployed,10001-20000,Yes,Life insurance ,2,Yes,Yes,1,Yes,1
18/05/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,6,No,No,3,No,
18/05/2023,18-30,Male,Single,,Employed,10001-20000,Yes,Life insurance ,3,No,No,,No,
18/05/2023,31-40,Female,Married,3,Employed,20001-30000,Yes,NHIF,2,Yes,Yes,1,,
18/05/2023,18-30,Male,Single,,Unemployed,0-9999,Yes,CIC medical cover,1,Yes,No,,No,
18/05/2023,18-30,Male,Single,,Unemployed,10001-20000,No,,15,No,No,,No,
18/05/2023,18-30,Female,Single,,Unemployed,0-9999,No,,14,No,No,,No,
18/05/2023,18-30,Male,Single,,Unemployed,0-9999,No,,12,No,No,,No,
18/05/2023,18-30,Male,Single,,Unemployed,0-9999,Yes,Nhif,5,Yes,No,,No,
18/05/2023,60+,Female,Single,8,Unemployed,0-9999,Yes,NHIF,4,No,Yes,1,No,
18/05/2023,31-40,Male,Married,1,Employed,10001-20000,Yes,NHIF,12,No,No,,No,
18/05/2023,41-50,Male,Married,1,Unemployed,0-9999,No,,3,No,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,1,No,Yes,1,No,
18/05/2023,41-50,Female,Married,8,Unemployed,0-9999,Yes,Nhif,1,Yes,Yes,1,Yes,2
18/05/2023,18-30,Male,Single,0,Employed,10001-20000,Yes,Nhif ,5,Yes,No,,No,
18/05/2023,18-30,Female,Married,0,Employed,50001+,Yes,NHIF,1,Yes,Yes,1,Yes,1
18/05/2023,41-50,Female,Divorced,3,Unemployed,0-9999,Yes,Nhif,24,No,Yes,1,No,
18/05/2023,41-50,Female,Married,4,Employed,20001-30000,Yes,NHIF,3,Yes,No,,No,
18/05/2023,31-40,Female,Single,1,Self-employed,0-9999,Yes,NHIF,12,No,No,,No,
18/05/2023,60+,Female,Single,10,Unemployed,0-9999,No,,3,No,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,1,Yes,No,,No,
18/05/2023,51-60,Male,Single,2,Employed,40001-50000,Yes,NHIF,12,Yes,No,,No,
18/05/2023,51-60,Male,Married,2,Self-employed,0-9999,No,,1,No,No,,No,
18/05/2023,18-30,Male,Single,,Unemployed,0-9999,No,,1,Yes,No,,No,
18/05/2023,18-30,Female,Single,,Unemployed,0-9999,No,,2,Yes,No,,No,
18/05/2023,41-50,Female,Married,2,Self-employed,10001-20000,No,,1,No,No,,No,
18/05/2023,31-40,Male,Married,0,Unemployed,0-9999,Yes,NHIF,3,No,No,,No,
18/05/2023,51-60,Female,Married,9,Unemployed,0-9999,Yes,NHIF,2,Yes,No,,No,
18/05/2023,51-60,Male,Married,3,Unemployed,0-9999,Yes,NHIF,2,Yes,Yes,1,No,
18/05/2023,18-30,Male,Single,,Unemployed,0-9999,No,N/A ,2,No,No,,No,
18/05/2023,18-30,Female,Married,2,Unemployed,0-9999,No,,1,No,No,,No,
18/05/2023,41-50,Female,Married,3,Unemployed,10001-20000,Yes,NHIF,1,Yes,Yes,1,No,
18/05/2023,60+,Male,Married,2,Self-employed,0-9999,No,,36,No,No,,No,
18/05/2023,18-30,Female,Single,,Unemployed,10001-20000,Yes,NHIF,6,Yes,No,,No,
18/05/2023,41-50,Female,Divorced,3,Employed,10001-20000,No,,10,No,No,,No,
18/05/2023,60+,Male,Married,8,Unemployed,0-9999,No,,2,No,Yes,3,Yes,4+
18/05/2023,31-40,Female,Married,4,Self-employed,10001-20000,No,,1,No,No,,No,
18/05/2023,31-40,Male,Married,4,Self-employed,20001-30000,No,,1,No,No,,No,
18/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,11,No,No,,No,
18/05/2023,51-60,Male,Married,3,Self-employed,10001-20000,No,,1,No,Yes,1,No,
18/05/2023,51-60,Female,Married,3,Employed,20001-30000,Yes,The National Hospital Insurance Fund (NHIF),1,Yes,Yes,1,Yes,3
18/05/2023,18-30,Male,Single,0,Employed,10001-20000,No,,20,No,No,,No,
18/05/2023,18-30,Female,Single,2,Unemployed,0-9999,No,,1,No,Yes,1,No,
18/05/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,17,Yes,No,,Yes,3
19/05/2023,31-40,Female,Married,4,Self-employed,10001-20000,No,,2,No,No,,Yes,2
19/05/2023,60+,Male,Married,6,Employed,50001+,Yes,Nhif,0.5,Yes,Yes,1,No,
19/05/2023,31-40,Female,Divorced,2,Self-employed,10001-20000,No,,1,No,No,,No,
19/05/2023,18-30,Male,Married,1,Employed,10001-20000,No,,5,No,No,,No,
19/05/2023,51-60,Male,Married,5,Employed,40001-50000,Yes,Nhif,2,Yes,No,,No,
19/05/2023,31-40,Female,Married,3,Employed,20001-30000,Yes,Nhif ,0.5,Yes,No,,No,
19/05/2023,18-30,Female,Single,0,Employed,20001-30000,No,,1,No,No,,No,
19/05/2023,31-40,Female,Married,2,Self-employed,10001-20000,Yes,Nhif ,4,Yes,No,,No,
19/05/2023,51-60,Male,Divorced,8,Employed,40001-50000,Yes,Nhif ,6,Yes,No,,Yes,2
19/05/2023,31-40,Female,Married,6,Self-employed,10001-20000,No,,6,No,No,,Yes,1
19/05/2023,51-60,Female,Married,7,Employed,50001+,Yes,Nhif ,6,Yes,Yes,3,Yes,1
19/05/2023,18-30,Male,Married,1,Employed,50001+,Yes,Nhif ,1,Yes,No,,No,
19/05/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,4,No,No,,No,1
19/05/2023,31-40,Female,Married,2,Employed,40001-50000,Yes,"Nhif , APA ",4,Yes,Yes,1,No,
19/05/2023,18-30,Male,Married,1,Unemployed,0-9999,Yes,Nhif ,1,Yes,No,,No,1
19/05/2023,60+,Female,Divorced,14,Unemployed,0-9999,Yes,Nhif ,2,Yes,Yes,1,Yes,1
22/05/2023,31-40,Female,Single,3,Unemployed,10001-20000,Yes,Nhif,6,Yes,No,,No,
23/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,2,No,No,,No,
23/05/2023,60+,Female,Married,10,Self-employed,40001-50000,No,,9,Yes,No,,No,
23/05/2023,18-30,Male,Single,0,Employed,0-9999,No,,13,Yes,No,,No,
23/05/2023,18-30,Female,Married,2,Employed,10001-20000,No,,1,Yes,No,,No,
23/05/2023,31-40,Female,Married,3,Unemployed,10001-20000,No,,3,No,No,,No,
23/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,8,No,No,,No,
23/05/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,Nhif,6,Yes,No,,No,
23/05/2023,18-30,Male,Single,0,Employed,10001-20000,Yes,Nhif,5,No,No,,No,
23/05/2023,31-40,Female,Married,2,Self-employed,10001-20000,Yes,Nhif,1,Yes,Yes,1,No,
24/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,none,2020,No,No,,No,4+
24/05/2023,31-40,Male,Married,2,Employed,20001-30000,Yes,NHIF,3,Yes,No,,No,
24/05/2023,31-40,Male,Married,4,,40001-50000,Yes,,,Yes,Yes,3,Yes,2
24/05/2023,18-30,Female,Married,5,Unemployed,0-9999,Yes,NHIF,1,Yes,Yes,1,Yes,2
24/05/2023,18-30,Female,Single,,Unemployed,0-9999,Yes,NHIF,1,Yes,Yes,1,No,
24/05/2023,41-50,Male,Married,3,Employed,20001-30000,No,NHIF ,3,Yes,No,,No,
24/05/2023,31-40,Female,Married,3,Employed,10001-20000,No,NHIF ,2,Yes,No,,No,
24/05/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,NHIF ,5,Yes,No,,No,
24/05/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,,2,No,No,,No,
24/05/2023,31-40,Male,Divorced,2,Self-employed,10001-20000,No,,4,No,No,,No,
24/05/2023,41-50,Female,Married,5,Employed,40001-50000,Yes,NHIF ,6,Yes,Yes,2,Yes,2
24/05/2023,18-30,Male,Married,1,Employed,10001-20000,No,,4,No,No,,No,
24/05/2023,51-60,Female,Married,6,Employed,50001+,Yes,NHIF ,5,Yes,Yes,1,Yes,1
24/05/2023,31-40,Male,Divorced,3,Employed,40001-50000,No,,3,No,No,,No,
24/05/2023,31-40,Male,Married,2,Self-employed,10001-20000,Yes,NHIF,3,Yes,No,,No,
25/05/2023,18-30,Male,Single,,Unemployed,0-9999,Yes,NHIF,24,Yes,No,,No,
25/05/2023,31-40,Female,Married,1,Self-employed,40001-50000,Yes,NHIF,2,Yes,Yes,1,No,
25/05/2023,31-40,Male,Married,1,Employed,20001-30000,Yes,NHIF,12,Yes,No,,No,
25/05/2023,18-30,Male,Married,2,Employed,20001-30000,Yes,NHIF,5,,No,,No,
25/05/2023,41-50,Female,Divorced,2,Unemployed,0-9999,Yes,NHIF,1,Yes,No,,No,
25/05/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,NHIF,12,No,No,,No,
25/05/2023,18-30,Female,Single,,Unemployed,,No,,36,No,No,,No,
25/05/2023,41-50,Female,Married,3,Unemployed,0-9999,Yes,NHIF,1,Yes,Yes,1,No,
25/05/2023,41-50,Male,Married,3,Employed,0-9999,Yes,NHIF,60,Yes,No,,No,
25/05/2023,18-30,Male,Married,1,Employed,0-9999,Yes,NHIF ,12,Yes,No,,No,
25/05/2023,18-30,Male,Single,,Unemployed,,No,,,,No,,No,
26/05/2023,18-30,Male,Divorced,2,Employed,40001-50000,Yes,Nhif,9,Yes,No,,No,
26/05/2023,51-60,Male,Married,6,Employed,10001-20000,Yes,NHIF,1,Yes,Yes,1,Yes,3
26/05/2023,18-30,Female,Single,0,Unemployed,0-9999,No,no insurance covers,6,No,No,,No,4+
26/05/2023,18-30,Female,Married,2,Employed,0-9999,Yes,NHIF,1,Yes,Yes,2,No,
27/05/2023,60+,Female,Married,6,Unemployed,0-9999,No,,2,No,No,,No,
29/05/2023,41-50,Male,Married,2,Unemployed,10001-20000,No,,2,No,No,,No,1
30/05/2023,31-40,Male,Married,3,Employed,10001-20000,Yes,Kcb insurance cover,2,Yes,No,,No,1
30/05/2023,18-30,Male,Single,1,Unemployed,0-9999,No,,9,No,No,,No,4+
30/05/2023,60+,Female,Married,6,Self-employed,20001-30000,Yes,Absa insurance ,2,Yes,Yes,1,Yes,2
30/05/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,NHIF,5,Yes,No,,No,
30/05/2023,18-30,Female,Single,0,Employed,0-9999,No,,5,No,No,,No,
30/05/2023,18-30,Male,Single,0,Employed,0-9999,Yes,NHIF,5,No,No,,No,
30/05/2023,31-40,Male,Single,0,Unemployed,0-9999,Yes,"Britam
",3,Yes,No,,No,
30/05/2023,31-40,Female,Married,2,Employed,10001-20000,Yes,NHIF,1,Yes,Yes,1,Yes,1
30/05/2023,,Female,Married,1,Self-employed,20001-30000,Yes,APA,0,Yes,Yes,1,No,
30/05/2023,41-50,Male,Married,3,Employed,40001-50000,Yes,NHIF ,2,Yes,Yes,1,Yes,1
30/05/2023,18-30,Male,Single,0,Unemployed,20001-30000,No,,1,No,No,,No,
30/05/2023,51-60,Female,Married,4,Self-employed,40001-50000,Yes,NHIF ,0,Yes,Yes,1,Yes,1
30/05/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,0,No,No,,No,
01/06/2023,18-30,Male,Single,,Unemployed,,Yes,Health cover,1,Yes,Yes,1,No,
01/06/2023,18-30,Male,Single,,Employed,20001-30000,Yes,Health cover,1,Yes,Yes,1,No,
01/06/2023,41-50,Female,Married,4,Self-employed,20001-30000,Yes,Health cover,2,Yes,Yes,1,No,
01/06/2023,51-60,Male,Married,4,Self-employed,10001-20000,Yes,Health cover,4,Yes,Yes,1,No,
01/06/2023,18-30,Male,Single,,Employed,20001-30000,Yes,Health cover,1,Yes,Yes,1,No,
01/06/2023,18-30,Male,Single,,Unemployed,0-9999,Yes,Health cover,1,Yes,Yes,1,No,
01/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,6,No,Yes,1,No,
01/06/2023,31-40,Male,Married,2,Employed,50001+,Yes,NHIF,5,Yes,Yes,3,No,
01/06/2023,31-40,Female,Married,2,Unemployed,10001-20000,No,,2,No,Yes,1,No,
01/06/2023,51-60,Male,Married,5,Self-employed,40001-50000,Yes,NHIF,8,No,Yes,3,No,
01/06/2023,31-40,Male,Married,3,Self-employed,20001-30000,Yes,NHIF ,2,Yes,No,,No,
01/06/2023,18-30,Male,Married,3,Unemployed,10001-20000,Yes,Nhif,8,Yes,No,,No,4+
